1,2025-04-21,1,3,1
2,2025-04-22,0,4,2
3,2025-04-23,1,7,3
4,2025-04-24,1,9,4
5,2025-04-25,0,13,5
6,2025-04-26,1,14,6
7,2025-04-27,1,17,7
8,2025-04-28,0,19,8
9,2025-04-29,1,21,9
10,2025-04-30,1,24,10
11,2025-05-01,0,25,11
12,2025-05-02,1,27,12
13,2025-05-03,0,29,13
14,2025-05-04,1,32,14
15,2025-05-05,1,33,15
16,2025-05-06,0,36,16
17,2025-05-07,1,38,17
18,2025-05-08,0,39,18
19,2025-05-09,1,42,19
20,2025-05-10,1,43,20
21,2025-05-11,0,46,21
22,2025-05-12,1,48,22
23,2025-05-13,1,49,23
24,2025-05-14,0,51,24
25,2025-05-15,1,52,25
26,2025-05-16,0,53,26
27,2025-05-17,1,54,27
28,2025-05-18,0,55,28
29,2025-05-19,1,56,29
30,2025-05-20,0,57,30
31,2025-05-21,1,58,31
32,2025-05-22,0,59,32
33,2025-05-23,1,60,33
34,2025-05-24,1,61,34
35,2025-05-25,0,62,35
36,2025-05-26,1,63,36
37,2025-05-27,1,64,37
38,2025-05-28,0,65,38
39,2025-05-29,1,66,39
40,2025-05-30,0,67,40
41,2025-06-01,1,68,41
42,2025-06-02,1,3,42
43,2025-06-03,0,4,43
44,2025-06-04,1,7,44
45,2025-06-05,0,9,45
46,2025-06-06,1,13,46
47,2025-06-07,1,14,47
48,2025-06-08,0,17,48
49,2025-06-09,1,19,49
50,2025-06-10,1,21,50
