1,2025-04-01,Credit Card,Completed,3
2,2025-04-02,Debit Card,Pending,4
3,2025-04-03,PayPal,Completed,7
4,2025-04-04,Bank Transfer,Failed,9
5,2025-04-05,Credit Card,Completed,13
6,2025-04-06,PayPal,Completed,14
7,2025-04-07,Debit Card,Completed,17
8,2025-04-08,Credit Card,Pending,19
9,2025-04-09,PayPal,Completed,21
10,2025-04-10,Bank Transfer,Completed,24
11,2025-04-11,Debit Card,Completed,25
12,2025-04-12,Credit Card,Pending,27
13,2025-04-13,PayPal,Completed,29
14,2025-04-14,Credit Card,Completed,32
15,2025-04-15,Bank Transfer,Failed,33
16,2025-04-16,PayPal,Completed,36
17,2025-04-17,Debit Card,Completed,38
18,2025-04-18,Credit Card,Completed,39
19,2025-04-19,Bank Transfer,Pending,42
20,2025-04-20,PayPal,Completed,43
21,2025-04-21,Credit Card,Completed,46
22,2025-04-22,Debit Card,Pending,48
23,2025-04-23,PayPal,Completed,49
24,2025-04-24,Bank Transfer,Failed,51
25,2025-04-25,Credit Card,Completed,52
26,2025-04-26,PayPal,Completed,53
27,2025-04-27,Debit Card,Completed,54
28,2025-04-28,Bank Transfer,Pending,55
29,2025-04-29,Credit Card,Completed,56
30,2025-04-30,PayPal,Completed,57
31,2025-05-01,Debit Card,Pending,58
32,2025-05-02,Bank Transfer,Completed,59
33,2025-05-03,Credit Card,Completed,60
34,2025-05-04,PayPal,Failed,61
35,2025-05-05,Debit Card,Completed,62
36,2025-05-06,Bank Transfer,Completed,63
37,2025-05-07,Credit Card,Pending,64
38,2025-05-08,PayPal,Completed,65
39,2025-05-09,Debit Card,Completed,66
40,2025-05-10,Bank Transfer,Completed,67
41,2025-05-11,Credit Card,Completed,68
42,2025-05-12,PayPal,Pending,3
43,2025-05-13,Debit Card,Completed,4
44,2025-05-14,Bank Transfer,Failed,7
45,2025-05-15,Credit Card,Completed,9
46,2025-05-16,PayPal,Completed,13
47,2025-05-17,Debit Card,Completed,14
48,2025-05-18,Bank Transfer,Completed,17
49,2025-05-19,Credit Card,Pending,19
50,2025-05-20,PayPal,Completed,21
