1,Hotel Luxe,0321-5551111,Hotel Provider,NULL,English,15
2,Sky Tours,0321-5552222,Guide,NULL,Spanish,8
3,Royal Transport,0321-5553333,Transport Provider,Luxury Sedan,NULL,NULL
4,Sunset Resorts,0321-5554444,Hotel Provider,NULL,Italian,20
5,TravelMate,0321-5555555,Guide,NULL,German,5
6,Elite Transport,0321-5556666,Transport Provider,Mini Bus,NULL,NULL
7,Seaside Villas,0321-5557777,Hotel Provider,NULL,Arabic,10
8,Adventure Seekers,0321-5558888,Guide,NULL,Portuguese,12
9,Mountain Express,0321-5559999,Transport Provider,4x4 SUV,NULL,NULL
10,Grand Plaza,0321-5560000,Hotel Provider,NULL,Russian,25
11,Paradise Travels,0321-5561111,Guide,NULL,Japanese,6
12,Golden Miles,0321-5562222,Transport Provider,Bus,NULL,NULL
13,Oceanic Stays,0321-5563333,Hotel Provider,NULL,Chinese,18
14,Voyage Masters,0321-5564444,Guide,NULL,Italian,3
15,Desert Adventures,0321-5565555,Transport Provider,Camper Van,NULL,NULL
16,Beachfront Retreat,0321-5566666,Hotel Provider,NULL,German,10
17,Safari Team,0321-5567777,Guide,NULL,Swahili,7
18,City Shuttle,0321-5568888,Transport Provider,Shuttle Bus,NULL,NULL
19,Mountain View Resort,0321-5569999,Hotel Provider,NULL,French,22
20,Expedition Leaders,0321-5570000,Guide,NULL,Dutch,15
21,Skyline Transport,0321-5571111,Transport Provider,Private Car,NULL,NULL
22,Tranquil Lodgings,0321-5572222,Hotel Provider,NULL,Arabic,13
23,Guided Trails,0321-5573333,Guide,NULL,Hindi,8
24,Luxury Limo Service,0321-5574444,Transport Provider,Limousine,NULL,NULL
25,Eagles Nest,0321-5575555,Hotel Provider,NULL,French,14
26,Oceanic Excursions,0321-5576666,Guide,NULL,Italian,10
27,Elite Chauffeurs,0321-5577777,Transport Provider,Luxury Sedan,NULL,NULL
28,Safari Wonders,0321-5578888,Guide,NULL,Zulu,4
29,Tranquil Palms,0321-5579999,Hotel Provider,NULL,Spanish,11
30,Sunset Tours,0321-5580000,Guide,NULL,Portuguese,9
31,Green Travels,0321-5581111,Transport Provider,Eco Bus,NULL,NULL
32,Blissful Retreat,0321-5582222,Hotel Provider,NULL,Russian,17
33,Voyage Adventures,0321-5583333,Guide,NULL,French,6
34,Royal Safari,0321-5584444,Transport Provider,4x4 SUV,NULL,NULL
35,Seaside Getaway,0321-5585555,Hotel Provider,NULL,German,14
36,Excursion Leaders,0321-5586666,Guide,NULL,Dutch,7
37,Alpine Tours,0321-5587777,Transport Provider,Mountain Bus,NULL,NULL
38,Royal Estates,0321-5588888,Hotel Provider,NULL,Arabic,16
39,Desert Nomads,0321-5589999,Guide,NULL,Swahili,5
40,Coastal Adventures,0321-5590000,Transport Provider,Yacht,NULL,NULL
41,Paradise Getaways,0321-5591111,Hotel Provider,NULL,French,23
42,Wilderness Guides,0321-5592222,Guide,NULL,Hindi,6
43,Jet Set Transport,0321-5593333,Transport Provider,Private Jet,NULL,NULL
44,Natures Haven,0321-5594444,Hotel Provider,NULL,Russian,19
45,River Expeditions,0321-5595555,Guide,NULL,German,8
46,Tropical Hideaways,0321-5596666,Hotel Provider,NULL,Spanish,11
47,Swift Transits,0321-5597777,Transport Provider,Motorbike,NULL,NULL
48,Luxury Resorts,0321-5598888,Hotel Provider,NULL,Japanese,18
49,Wilderness Adventures,0321-5599999,Guide,NULL,Portuguese,4
50,Alpine Getaways,0321-5600000,Transport Provider,Snowmobile,NULL,NULL
