1,Standard,2025-04-01,1
2,Premium,2025-04-02,2
3,VIP,2025-04-03,3
4,Standard,2025-04-04,4
5,Premium,2025-04-05,5
6,VIP,2025-04-06,6
7,Standard,2025-04-07,7
8,Premium,2025-04-08,8
9,VIP,2025-04-09,9
10,Standard,2025-04-10,10
11,Premium,2025-04-11,11
12,VIP,2025-04-12,12
13,Standard,2025-04-13,13
14,Premium,2025-04-14,14
15,VIP,2025-04-15,15
16,Standard,2025-04-16,16
17,Premium,2025-04-17,17
18,VIP,2025-04-18,18
19,Standard,2025-04-19,19
20,Premium,2025-04-20,20
21,VIP,2025-04-21,21
22,Standard,2025-04-22,22
23,Premium,2025-04-23,23
24,VIP,2025-04-24,24
25,Standard,2025-04-25,25
26,Premium,2025-04-26,26
27,VIP,2025-04-27,27
28,Standard,2025-04-28,28
29,Premium,2025-04-29,29
30,VIP,2025-04-30,30
